__dictionary_inputText\dictL20231016170315.txt
_lemma	_traduzione
der il
und e
in in
nach dopo
das quello
der il
der il
des des
haben avere
so così
von da
sein essere
zu a
aschenbach aschenbach
der il
ein a
eine uno
einer uno
ein a
einem uno
einer uno
ihm lui
nicht non
sein essere
seine il suo
sein essere
wie come
abend sera
abnutzbarkeit vestibilità
allein solo
amtlich ufficiale
an un
anfang inizio
animi anime
arbeit lavoro
auch anche
august agosto
aus spento
bald presto
behutsamkeit attenzione
bei a
belaubt frondoso
beredsamkeit eloquenza
bestehen passare
stehen stare in piedi
bewegung movimento
cicero cicerone
continuus continuo
dass quello
daß quello
den tana
der il
dumpfig noioso
eben solo
ein a
einer uno
eindringlichkeit forza
ein a
einen uno
einer uno
einfallen verificarsi
einhalt fermati
einmal una volta
englisch inglese
entlastenden esonerativo
er lui
erfordernden richiedendo
erspriesslichen di buon auspicio
erst primo
erster primo
es esso
falsch falso
fortschwingen dondolarsi via
frei gratuito
freie gratuito
fruehlingsnachmittag pomeriggio primaverile
fuenfzigsten cinquantesimo
garten giardino
geburtstag compleanno
gefaehrlichen pericoloso
gefahrdrohende minaccioso
finden trova
genauigkeit precisione
suchen cerca
sein essere
gustav gustav
herstellen crea
hochsommer mezza estate
hoechste più alto
hoffnung speranza
ihn lui
im in
in in
innere interno
jahr anno
jener quello
jetzt adesso
kapitel capitolo
kontinent continente
kraefte poteri
lauten sono
luft aria
mai maggio
miene aspetto
mittagsmahlzeit pranzo
monatelang mesi
motus moto
muenchen monaco di baviera
naehe vicino
name nome
nasskalten freddo-umido
noetig necessario
nur solo
obgleich sebbene
oder oppure
prinz principe
produzierend produzione
regentenstrasse regentenstrasse
schlummer sonno
schriftsteller scrittore
schwierig difficile
sei essere
sein essere
seit dal
spaziergaenger camminatori
spaziergang camminare
stadt città
tee tè
tod morte
triebwerks motore
tun fare
ueberreizt sovraeccitato
umsicht prudenza
mein mio
unser nostro
unternehmen azienda
untertags di giorno
venedig venezia
verhelfen aiuto
vermögen beni
voll pieno
voller più pieno
vormittagsstunden ore del mattino
wagen osare
weit lontano
weiter continua
weiterer inoltre
wesen essendo
wieder ancora
wille volontà
willens disposto
woche settimana
wohnung appartamento
worin dove
wuerden sarebbe
zart delicato
zeigen mostra
zunehmend sempre più
